,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,#,_
r,0.18169074465985724,0.0006804896803739972,0.036746442740195846,0.1204466734261975,0.7805216633889748,0.005443917442991978,0.042870849863561815,0.012929303927105947,0.24157383653276898,0.0,0.04014889114206583,0.03062203561682987,0.05103672602804978,0.05852211251216376,0.235449429409403,0.046953787945805806,0.0,0.05852211251216376,0.23204698100753302,0.16467850265050732,0.054439174429919766,0.00476342776261798,0.005443917442991978,0.0,0.25110069205800495,0.0,0.7920899879553326,0.24701775397576098
s,0.4436792716038461,0.0,0.02109518009159391,0.0,0.5341843990935877,0.0,0.0006804896803739972,0.5797772076786455,0.17284437881499526,0.0,0.03198301497757786,0.045592808585057806,0.017012242009349927,0.03742693242056984,0.28580566575707883,0.05716113315141576,0.004082938082243983,0.0,0.12452961150844148,0.40693282886365034,0.10819785917946555,0.0,0.020414690411219915,0.0,0.004082938082243983,0.0,1.1765666573666411,0.34704973699073854
t,0.1674004613720033,0.0,0.02926105625608188,0.0,0.5110477499608719,0.007485386484113969,0.0,2.366743108340762,0.3171081910542827,0.0,0.0,0.1884956414635972,0.01224881424673195,0.008165876164487966,0.6798091906936231,0.0,0.0,0.10411492109722155,0.10751736949909155,0.22796404292528905,0.12861254959068547,0.0,0.052397705388797775,0.0,0.03742693242056984,0.0,1.8563758480602641,0.470218369138432
u,0.01224881424673195,0.020414690411219915,0.11636373534395351,0.034704973699073854,0.11023932822058753,0.0034024484018699854,0.11704422502432751,0.0,0.055119664110293766,0.0,0.0,0.22456159452341906,0.03334399433832586,0.16671997169162928,0.0020414690411219914,0.14290283287853942,0.0,0.3388838608262506,0.2871666451178268,0.40080842174028436,0.0,0.0,0.0,0.0,0.0,0.00952685552523596,0.2095908215551911,0.0721319061196437
v,0.012929303927105947,0.0,0.0,0.0,0.474301307220676,0.0,0.0,0.0,0.04082938082243983,0.0,0.0,0.0,0.0,0.0,0.042870849863561815,0.0,0.0,0.0,0.0,0.0,0.0006804896803739972,0.0,0.0,0.0,0.0020414690411219914,0.0,0.0,0.0013609793607479944
w,0.3974059733384144,0.0,0.0,0.006804896803739971,0.236129919089777,0.0034024484018699854,0.0,0.3456887576299905,0.24973971269725692,0.0,0.0,0.02109518009159391,0.0,0.0945880655719856,0.18373221370097922,0.0,0.0,0.02177566977196791,0.013609793607479942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1639980129701333,0.08165876164487966
x,0.008165876164487966,0.0,0.008846365844861964,0.0,0.01633175232897593,0.0,0.0,0.0,0.015651262648601935,0.0,0.0,0.0,0.0,0.0,0.0,0.015651262648601935,0.0,0.0,0.0,0.025858607854211894,0.0,0.0,0.0,0.0,0.0,0.0,0.005443917442991978,0.00476342776261798
y,0.005443917442991978,0.006804896803739971,0.0,0.0,0.06600749899627772,0.0,0.0,0.0,0.034024484018699855,0.0,0.0,0.0006804896803739972,0.002721958721495989,0.0006804896803739972,0.33820337114587656,0.03742693242056984,0.0,0.0,0.02517811817383789,0.023136649132715903,0.0,0.0,0.0020414690411219914,0.0,0.0,0.0,0.725401999278681,0.26879342374772885
z,0.00476342776261798,0.0,0.0,0.0,0.02109518009159391,0.0,0.0,0.0,0.006804896803739971,0.0,0.0,0.00952685552523596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013609793607479944,0.00952685552523596,0.0,0.0
#,2.144222982858465,0.6192456091403374,0.5763747592767755,0.5382673371758318,0.24429579525426498,0.482467183385164,0.38515715909168236,1.0282199070451097,1.1384592352656973,0.07553435452151368,0.17692731689723926,0.49267452859077393,0.5988309187291174,0.35589610283560047,0.922063516906766,0.31914966009540463,0.12657108054956345,0.3279960259402666,1.656311882030309,2.84648833300443,0.17284437881499526,0.15787360584676732,1.1486665804713072,0.0020414690411219914,0.32187161881690063,0.0013609793607479944,0.17352486849536927,0.46885738977768404
_,0.10683687981871755,0.05920260219253775,0.03198301497757786,0.042870849863561815,0.02109518009159391,0.023136649132715903,0.007485386484113969,0.04150987050281382,0.20346641443182517,0.004082938082243983,0.0020414690411219914,0.053078195069171774,0.05103672602804978,0.03878791178131784,0.06600749899627772,0.023136649132715903,0.0,0.034704973699073854,0.1871346621028492,0.26811293406735487,0.008846365844861964,0.034024484018699855,0.10819785917946555,0.0,0.05035623634767578,0.0,2.5225752451464074,5.284682857784462
